subject	run	n_volumes	n_fd_observations	mean_fd_mm	median_fd_mm	p95_fd_mm	max_fd_mm	mean_std_dvars	max_translation_range_mm	max_rotation_range_degrees	n_fd_gt_0p2_mm	percent_fd_gt_0p2_mm	n_fd_gt_0p5_mm	percent_fd_gt_0p5_mm
sub-0010	5	570	569	0.07756336586265346	0.0708692421282549	0.14539527552283155	0.3051108301324767	1.069472704745167	0.41076716959406656	0.3033257474029834	9	1.5817223198594024	0	0.0
sub-0010	6	570	569	0.08349284581676858	0.0685451097969338	0.1870977247481829	0.7349618861409742	1.05290639543058	1.1661129178135354	0.8288022691290399	25	4.393673110720562	3	0.5272407732864675
sub-0011	1	570	569	0.05327462284071174	0.0473994916953373	0.09288870754548156	0.3990297581129161	1.0098078717047452	1.0501564834862478	0.43626888813010845	6	1.054481546572935	0	0.0
sub-0011	2	570	569	0.056656860372115196	0.04811048652869	0.09709383444315489	0.8263051933052166	1.0231057803163446	0.6500599402016007	0.869966142097917	10	1.757469244288225	2	0.351493848857645
sub-0011	3	570	569	0.052849283376310306	0.0443719445701026	0.09087866663741671	1.1429498924055543	1.0242559683655537	0.9530496220117044	1.1544889158644531	8	1.40597539543058	2	0.351493848857645
sub-0011	4	570	569	0.05912267947390984	0.0528152484195911	0.10253480682880467	0.9275239838885148	0.9848695782073814	1.1106627420367232	0.5196603463780521	11	1.9332161687170475	2	0.351493848857645
sub-0011	5	570	569	0.05008638603546498	0.0428274473143702	0.09144408256776652	0.738140652206066	1.0159422636203865	0.4536630494523165	0.3795078486889545	9	1.5817223198594024	1	0.1757469244288225
sub-0011	6	570	569	0.05624514921594164	0.0502643792681963	0.10468031364264799	0.6635349357458997	1.021004711775044	0.4090236159508293	0.32338676524769766	7	1.2302284710017575	1	0.1757469244288225
sub-0012	1	570	569	0.11383191221721381	0.1086958576516602	0.20929732696813552	0.3389492960641302	1.0199620456942005	0.7688108544063396	0.5392786525423273	36	6.3268892794376095	0	0.0
sub-0012	2	570	569	0.12835907888620998	0.1171269372555116	0.2579541458927382	0.5509674410122893	0.9883515623901581	0.6514601656163563	1.0810169864062988	72	12.653778558875219	4	0.70298769771529
sub-0012	3	570	569	0.10058488723289574	0.0932990187926139	0.2001958453853779	0.4252997903595633	1.0171367065026362	0.51685767494304	0.44017616112843677	29	5.0966608084358525	0	0.0
sub-0012	4	570	569	0.11320953577843702	0.1081552742766649	0.22771014838033296	0.5330841249335821	1.0053191335676628	0.6022685951154045	0.5549608736729159	47	8.260105448154658	1	0.1757469244288225
sub-0012	5	570	569	0.10757642110605195	0.1050766874817774	0.20775171251869234	0.4889001868385299	1.0156764622144112	0.4202915442754289	0.37590136298253113	31	5.448154657293498	0	0.0
sub-0012	6	570	569	0.1166929579940464	0.1067761389430197	0.2480318276408981	0.3830135993556713	1.0314609138840072	0.3892128568540585	0.3724330001234013	56	9.84182776801406	0	0.0
sub-0013	1	570	569	0.08389371511049033	0.0726196180607025	0.1712349379374752	0.42998498596298	1.038011137082601	0.6858453405705234	0.7014287478084894	19	3.3391915641476273	0	0.0
sub-0013	2	570	569	0.07817280822880535	0.0656970041104307	0.16184186665140118	0.4580222895881233	1.0512992548330404	0.5142322117878848	0.7980275761384736	11	1.9332161687170475	0	0.0
sub-0013	3	570	569	0.07234937314783962	0.0614246801840394	0.13943157603907802	0.4816926737129141	1.048745949033392	0.5251934190096534	0.49436487762325276	11	1.9332161687170475	0	0.0
sub-0013	4	570	569	0.0936889104942673	0.0666633875257812	0.2196110633829044	1.5423476790707855	1.0549453919156415	1.7581362379684435	2.3020974076181036	33	5.799648506151143	8	1.40597539543058
sub-0013	5	570	569	0.09021510821496345	0.0588683040008709	0.20940913706231987	1.9040008807112463	1.0821890228471003	2.3517696290384578	1.5342593450818298	30	5.272407732864675	6	1.054481546572935
sub-0013	6	570	569	0.08631600036689874	0.0707108736513201	0.19956067429518864	0.740434216639565	1.0708255219683656	0.7406281817148681	1.1261382768748596	29	5.0966608084358525	3	0.5272407732864675
sub-0014	1	570	569	0.06942655244780506	0.0645528885925957	0.12098591548161013	0.3904436866376068	1.0181161704745165	0.42356694751190105	0.357577984928455	2	0.351493848857645	0	0.0
sub-0014	2	570	569	0.0690596919276211	0.0671647121890123	0.11378525647617223	0.2618314820103454	1.0229980123022848	0.3593984664717027	0.1859205153028079	2	0.351493848857645	0	0.0
sub-0014	3	570	569	0.06941899591012092	0.0665129701799158	0.11495739054097241	0.332629455400583	1.0146317469244288	0.4611763089355491	0.3488166364513886	2	0.351493848857645	0	0.0
sub-0014	4	570	569	0.0781784776422326	0.0713014171253748	0.12463623930774895	1.204324775890643	1.0380252284710019	0.4376327323621609	1.1004912013212393	9	1.5817223198594024	3	0.5272407732864675
sub-0014	5	570	569	0.07951116819012446	0.0634586184463772	0.1286882392038142	1.4972180489423876	1.016472381370826	0.7258562000547784	1.468769420664164	13	2.2847100175746924	5	0.8787346221441125
sub-0014	6	570	569	0.07443618643029931	0.0709650348249379	0.12835637387851342	0.2694938653067729	1.029432602811951	0.505278208089976	0.2343771748353525	2	0.351493848857645	0	0.0
